Instance,Time,Cost,FacilityState,CustomerState
33,0.535,12497.0,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 ,21 10 7 3 5 8 13 8 21 13 8 13 24 21 5 21 13 8 7 5 21 27 27 7 5 10 27 8 5 17 4 13 10 7 4 21 27 21 7 5 4 13 10 10 4 7 27 8 5 7 10 13 8 7 13 21 27 3 3 25 10 13 8 7 13 4 17 10 10 3 8 13 24 21 4 10 7 8 7 7 4 13 10 10 4 21 27 24 7 5 4 13 8 10 4 8 13 24 21 5 4 17 17 10 3 10 27 8 25 5 10 27 8 5 7 10 27 8 7 5 27 7 8 5 7 21 27 8 13 25 10 13 8 7 7 21 27 8 25 25 8 13 10 10 4 10 27 8 25 25 
34,0.461,11610.0,0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 0 ,21 10 7 7 20 8 13 18 21 13 8 13 24 21 5 8 13 18 7 5 21 27 27 7 5 22 20 8 5 25 4 13 11 9 4 21 27 27 7 5 11 13 18 10 4 7 20 8 5 7 22 13 8 7 13 21 27 8 13 25 22 13 8 7 9 4 13 22 9 4 8 22 18 21 4 10 7 8 7 7 11 13 10 10 4 21 27 24 11 5 4 13 8 9 4 8 13 24 21 5 4 13 22 9 4 22 20 8 25 5 10 20 8 5 7 22 27 8 7 5 27 20 8 5 7 22 27 8 13 25 10 13 8 7 7 21 27 8 25 25 8 13 18 18 4 22 20 8 25 25 
35,0.41,14257.0,0 0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 ,21 10 7 3 5 8 13 18 21 13 8 13 18 21 5 8 27 8 7 5 21 27 27 7 5 22 27 8 5 25 4 13 11 9 4 21 27 21 7 5 11 13 18 10 4 7 27 9 5 7 22 13 8 7 13 21 27 3 3 11 22 13 8 7 9 4 13 22 9 3 8 22 18 21 4 10 7 8 7 7 11 13 10 10 4 21 27 27 11 5 4 13 8 9 4 8 13 18 21 5 4 13 22 9 3 22 27 8 25 5 10 27 8 5 7 22 27 8 7 5 27 7 8 5 7 22 27 8 13 25 10 13 8 7 7 21 18 8 25 25 8 13 18 10 4 22 27 8 25 25 
36,0.694,15949.0,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 27 3 3 5 8 13 8 21 13 8 13 8 21 4 21 27 8 21 5 21 27 27 21 5 5 27 8 5 17 4 13 10 10 4 21 27 21 4 5 4 13 10 10 4 10 27 8 5 13 10 13 8 10 13 21 27 3 3 5 10 13 8 10 13 4 17 10 10 3 4 21 8 21 4 10 27 8 5 13 4 13 10 10 4 21 27 27 4 5 4 13 8 10 4 8 27 8 21 5 4 17 17 10 3 10 27 8 5 13 10 27 8 5 13 10 27 8 5 5 27 27 8 5 13 21 27 3 13 5 10 13 8 5 13 21 27 3 3 5 8 13 8 21 4 10 27 8 5 17 
37,0.374,12686.0,0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 ,21 10 7 7 5 8 13 18 21 13 26 13 24 21 5 8 13 8 7 5 21 8 8 7 5 10 16 8 5 13 4 13 11 9 4 21 8 21 16 5 11 13 18 10 4 7 7 8 5 7 10 13 8 7 13 21 18 8 13 11 10 13 8 7 9 4 13 11 9 4 8 13 18 21 4 10 7 8 7 7 11 13 10 9 4 21 10 24 11 5 4 13 8 9 4 26 13 24 21 5 4 13 11 9 4 24 16 8 8 9 10 16 8 5 7 10 8 8 7 5 7 7 8 5 7 21 18 8 13 26 10 13 8 7 7 21 18 8 7 11 8 13 18 10 4 10 16 8 5 11 
38,0.365,11421.0,0 0 0 0 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 ,21 27 7 7 5 8 13 18 21 13 8 13 24 21 5 8 27 8 7 5 21 27 27 7 5 22 27 8 5 17 4 13 11 7 4 21 27 21 7 5 4 13 18 10 4 7 27 8 5 7 22 13 8 7 13 21 27 8 13 25 22 13 8 7 13 4 17 22 10 4 8 22 18 21 4 10 7 8 7 7 11 13 10 10 4 21 27 24 11 5 4 13 8 10 4 8 13 24 21 5 4 17 17 10 4 22 27 8 25 5 10 27 8 5 13 22 27 8 7 5 27 7 8 5 7 22 27 8 13 25 10 13 8 7 7 21 18 8 25 25 8 13 18 10 4 22 27 8 25 25 
39,0.439,13702.0,0 0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 ,21 10 7 3 5 8 13 8 21 13 8 13 8 21 5 8 13 8 7 5 21 8 8 7 5 10 3 8 5 9 4 13 11 9 4 21 28 21 7 5 11 13 10 10 4 7 7 8 5 7 22 13 8 7 13 21 28 8 3 11 22 13 8 7 9 4 13 22 9 3 8 22 8 21 4 10 7 8 7 7 11 13 10 10 4 21 28 8 11 5 4 13 8 9 4 8 13 8 21 5 4 13 28 9 3 22 8 8 8 5 10 13 9 5 7 22 8 8 7 5 7 7 8 5 7 22 28 8 13 11 10 13 8 7 7 21 28 8 3 11 11 13 10 10 4 10 3 8 8 11 
40,0.438,15557.0,0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 ,21 10 7 3 5 8 13 8 21 1 8 13 24 21 5 8 13 8 7 5 21 8 8 7 5 10 3 8 5 17 4 13 10 7 4 21 8 24 7 5 4 13 10 10 4 7 7 8 5 7 10 13 8 7 13 21 3 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 24 21 4 10 7 8 7 7 4 13 10 10 4 21 10 24 7 5 4 13 8 10 4 8 13 24 21 5 4 17 17 10 3 10 8 8 8 5 10 13 8 5 7 10 8 8 7 5 7 7 8 5 7 21 1 8 13 5 10 13 8 7 7 21 3 8 3 5 8 13 10 10 4 10 3 8 5 5 
41,0.416,8772.0,1 1 1 1 1 1 1 1 1 1 ,2 8 8 3 6 8 4 3 0 3 9 3 8 9 1 2 2 6 4 2 0 6 0 6 6 7 9 7 7 9 4 3 7 3 4 0 2 0 7 1 9 0 9 2 0 0 0 5 1 5 7 3 9 0 1 9 0 7 8 1 5 8 6 4 6 5 5 1 5 3 5 5 8 7 8 0 6 7 3 9 0 5 1 5 5 8 4 6 6 6 
42,0.285,7479.0,1 1 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 1 ,4 19 0 7 9 19 0 7 0 7 1 5 7 9 1 5 7 9 1 5 19 0 5 4 4 11 9 19 9 10 0 7 11 13 7 11 10 1 4 4 13 11 7 10 10 1 4 4 0 4 1 0 7 9 13 5 19 0 19 10 4 11 9 7 9 7 10 11 0 7 11 5 5 11 7 13 4 11 7 13 
