Instance,Time,Cost,FacilityState,CustomerState
33,0.001,23118,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 5 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 8 8 10 4 21 3 21 17 17 4 17 27 21 21 27 27 8 5 17 10 13 8 10 13 21 3 3 17 17 10 8 8 10 13 4 17 8 10 3 3 5 27 21 4 8 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 27 8 10 4 4 5 27 21 4 4 17 17 5 3 8 27 27 5 5 8 27 8 5 5 8 27 8 5 5 27 27 5 5 17 21 3 3 17 17 10 27 8 5 5 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
34,0.001,17298,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 27 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 13 8 10 4 21 3 21 17 17 4 17 8 21 21 27 27 8 5 17 10 13 8 7 13 21 3 3 17 17 10 13 8 7 13 4 17 8 10 3 3 5 27 21 4 10 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 13 8 10 4 4 27 27 21 4 4 17 17 10 3 8 27 8 5 5 10 27 8 5 5 8 27 8 5 5 27 27 27 5 17 21 3 3 17 17 10 27 8 5 13 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
35,0.001,23280,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 5 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 8 8 10 4 21 3 21 17 17 4 17 27 21 21 27 27 8 5 17 10 13 8 7 13 21 3 3 17 17 10 13 8 7 13 4 17 8 10 3 3 5 27 21 4 8 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 27 8 10 4 4 5 27 21 4 4 17 17 5 3 8 27 27 5 5 8 27 8 5 5 8 27 8 5 5 27 27 5 5 17 21 3 3 17 17 8 27 8 5 5 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
36,0,25619,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 17 17 4 27 8 21 4 3 5 3 21 4 4 27 27 5 4 21 27 27 4 4 5 3 3 17 17 4 8 8 10 4 21 3 21 17 17 4 17 27 21 21 27 27 8 5 17 10 13 8 10 13 21 3 3 17 17 10 13 8 10 13 4 17 8 10 3 3 5 27 21 4 8 27 8 5 5 4 27 8 10 4 21 3 21 21 17 4 27 8 10 4 4 5 27 21 4 4 17 17 5 3 8 27 27 5 5 8 27 8 5 5 8 27 8 5 5 27 27 5 5 17 21 3 3 17 17 8 27 8 5 5 21 3 3 17 17 4 5 8 21 21 8 3 3 3 17 
37,0.001,31227,0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 ,21 17 21 21 17 4 8 8 21 4 21 17 3 21 17 4 3 3 21 4 21 3 3 4 17 4 3 3 17 17 4 8 8 5 4 21 3 21 21 17 4 17 17 21 21 4 3 3 5 17 8 13 8 7 13 21 3 3 17 17 8 8 8 5 5 4 17 8 5 3 3 21 17 21 21 8 8 8 5 5 4 8 8 5 4 21 17 21 21 17 4 8 8 5 4 21 17 3 21 17 4 17 17 5 21 4 3 3 5 17 4 8 8 5 5 4 8 8 5 4 4 3 3 3 17 21 3 3 17 17 8 8 8 5 5 21 3 3 17 17 4 21 8 21 21 4 3 3 17 17 
38,0,19329,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 3 21 21 17 4 27 8 21 4 21 17 3 21 17 4 27 27 21 4 21 3 3 4 17 5 3 3 17 17 4 13 8 10 4 21 3 21 21 17 4 17 17 21 21 27 27 8 5 17 10 13 8 7 13 21 3 3 17 17 10 13 8 7 13 4 17 8 10 3 3 21 17 21 21 10 27 8 5 5 4 27 8 10 4 21 17 21 21 17 4 13 8 10 4 21 3 3 21 4 4 17 17 10 21 8 27 8 5 17 10 27 8 5 5 8 27 8 5 5 27 3 3 3 17 21 3 3 17 17 10 27 8 5 13 21 3 3 17 17 4 21 8 21 21 8 3 3 17 17 
39,0.001,31863,0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 ,21 17 21 21 17 4 8 8 21 4 21 17 3 21 17 4 3 3 21 4 21 3 3 3 17 3 3 3 17 17 4 8 8 9 4 21 3 21 21 17 3 17 17 21 21 4 3 3 3 17 8 13 8 9 9 21 3 3 17 17 8 13 8 9 9 4 17 8 5 3 3 21 17 21 21 8 8 8 5 5 4 8 8 5 4 21 17 21 21 17 4 8 8 9 4 21 17 3 21 17 3 17 17 4 21 4 3 3 5 17 4 8 8 5 4 4 8 8 5 4 4 3 3 3 17 21 3 3 17 17 8 8 8 5 5 21 3 3 17 17 4 21 8 21 21 4 3 3 17 17 
40,0,38914,0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 ,21 17 21 21 17 4 8 8 21 4 21 17 3 21 17 4 3 3 21 4 21 3 3 3 17 3 3 3 17 17 4 5 8 5 3 21 3 21 21 17 3 17 17 21 21 4 3 3 3 17 4 13 8 7 4 21 3 3 17 17 4 8 8 5 4 4 17 8 4 3 3 21 17 21 21 4 8 8 5 4 4 5 8 5 4 21 17 21 21 17 4 8 8 5 4 21 17 3 21 17 3 17 17 4 21 4 3 3 4 17 4 8 8 5 4 4 8 8 5 4 4 3 3 3 17 21 3 3 17 17 4 8 8 5 4 21 3 3 17 17 4 21 8 21 21 4 3 3 17 17 
41,0,9420,1 0 1 0 0 1 0 1 1 1 ,2 0 2 2 5 7 9 2 7 7 9 2 8 9 0 2 2 7 5 2 7 5 0 2 7 5 2 9 7 7 0 2 7 7 9 0 2 0 2 2 5 0 9 2 7 2 0 5 0 5 7 9 2 0 7 9 0 8 9 2 2 2 0 5 5 5 5 2 5 7 5 2 9 8 9 0 7 8 7 9 7 5 2 5 5 0 2 7 5 2 
42,0,8017,0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 ,4 4 7 11 4 4 11 7 7 4 11 4 7 4 4 4 7 7 4 4 7 7 4 4 11 11 7 7 7 7 11 7 11 11 4 11 7 4 4 4 11 11 4 11 7 4 4 4 11 4 4 11 7 7 7 4 11 4 4 4 11 11 7 11 4 4 11 11 7 4 11 7 11 11 4 11 11 11 7 11 
