Instance,Time,Cost,FacilityState,CustomerState
33,0.282,12242,0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 10 7 3 5 4 13 8 21 13 8 13 8 21 5 6 13 8 7 5 21 27 27 7 5 10 27 6 5 6 4 13 10 7 4 21 27 21 7 5 4 13 10 10 4 7 27 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 8 21 4 10 7 8 7 7 4 13 10 10 4 21 27 27 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 7 10 27 8 7 5 27 7 8 5 7 21 27 3 13 5 10 13 8 7 7 21 27 3 3 5 8 13 10 10 4 10 27 8 5 5 
34,0.277,11047,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 ,21 10 7 3 5 4 13 8 21 13 21 13 8 21 5 8 13 8 7 5 21 27 27 7 5 10 27 3 5 17 4 13 10 7 4 21 27 21 7 5 4 13 10 10 4 7 27 8 5 7 10 13 8 7 13 21 27 3 3 5 10 13 8 7 13 4 17 10 10 3 8 13 27 21 4 10 7 8 7 7 4 13 10 10 4 21 27 27 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 24 7 10 27 8 7 5 27 7 8 5 7 21 27 8 13 5 10 13 8 7 7 21 27 8 3 5 4 13 10 10 4 10 27 3 5 5 
35,0.285,12734,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 10 7 3 5 8 13 8 21 13 21 13 27 21 5 21 13 8 7 5 21 27 27 7 5 10 27 8 5 17 4 13 10 7 4 21 27 21 7 5 4 13 10 10 4 7 27 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 10 21 4 10 7 8 7 7 4 13 10 10 4 21 27 27 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 7 10 27 8 7 5 27 7 8 5 7 21 27 3 13 5 10 13 8 7 7 21 27 8 3 5 8 13 10 21 4 10 27 8 5 5 
36,0.295,17387,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 ,21 27 8 3 5 4 13 8 21 13 21 13 27 21 4 21 27 8 21 5 21 27 27 21 13 10 27 8 5 17 4 13 8 10 4 21 27 21 4 5 4 13 10 21 4 10 27 8 5 13 10 13 8 10 13 21 27 3 3 5 10 13 8 10 13 4 17 10 10 25 8 13 8 21 4 10 27 8 5 5 4 13 10 10 4 21 27 27 4 5 4 13 8 10 4 8 27 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 13 10 27 8 5 5 27 27 8 5 13 21 27 3 13 13 8 13 8 5 5 21 27 3 3 5 4 13 10 10 4 10 27 3 3 5 
37,0.281,12389,0 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 ,21 10 7 3 5 8 13 8 21 13 26 13 24 21 5 8 13 8 7 5 21 8 8 7 5 10 3 8 5 17 4 13 10 7 4 21 8 21 7 5 4 13 10 10 12 7 7 8 5 7 10 13 8 7 13 21 3 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 24 21 4 10 7 8 7 7 4 13 10 10 4 21 10 24 7 5 4 13 8 10 4 26 13 24 21 5 4 17 17 10 3 10 16 8 8 5 10 16 8 5 7 10 8 8 7 5 7 7 8 5 7 21 3 8 13 26 10 13 8 7 7 21 3 8 3 5 8 13 10 10 4 10 3 8 5 5 
38,0.271,10635,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 ,21 10 7 3 5 8 13 8 21 13 8 13 8 21 5 8 13 8 7 5 21 27 8 7 5 10 27 8 5 17 4 13 10 7 4 21 27 21 7 5 4 13 10 10 4 7 27 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 8 21 4 10 7 8 7 7 4 13 10 10 4 21 27 27 7 5 18 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 7 10 27 8 7 5 27 7 8 5 7 21 27 8 13 5 10 13 8 7 7 21 27 8 3 5 8 13 10 10 4 10 27 8 8 5 
39,0.298,16281,0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 ,21 8 3 3 5 8 13 8 21 13 21 13 8 21 5 21 13 8 21 5 21 8 9 21 5 5 3 8 5 17 4 13 8 9 4 21 8 21 4 5 4 13 17 25 4 21 13 9 5 13 8 13 8 9 13 21 3 3 3 5 8 13 8 9 9 4 17 8 9 3 8 13 8 21 4 8 13 8 5 13 4 13 8 9 4 21 13 21 4 5 4 13 8 9 4 21 13 8 21 5 4 17 17 9 3 21 8 9 8 5 21 13 8 5 13 4 8 8 9 5 21 13 8 5 13 21 3 3 13 5 8 13 8 5 13 21 3 3 3 5 8 13 8 21 4 21 3 9 5 5 
40,0.28,16009,0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 ,21 8 7 3 5 8 13 8 21 13 21 13 13 21 5 8 13 29 7 5 21 8 8 7 5 5 3 8 5 17 4 13 8 7 4 21 13 21 7 5 4 13 17 7 4 7 7 8 5 7 8 13 8 7 13 21 3 8 3 5 29 13 8 7 13 4 17 8 7 3 8 13 8 21 4 29 7 8 7 7 4 13 8 7 4 21 8 21 7 5 4 13 8 7 4 8 13 8 21 5 4 17 17 7 3 29 13 8 7 5 29 13 8 5 7 8 8 8 7 5 7 7 8 5 7 21 3 3 13 5 29 13 8 7 7 21 3 3 3 5 8 13 8 21 4 21 3 8 5 5 
41,0.242,8335,1 0 1 0 0 1 0 1 1 1 ,2 8 7 2 5 8 9 0 0 2 9 0 8 9 0 2 2 7 5 2 5 8 0 2 7 7 7 7 7 9 0 2 7 8 9 0 2 0 7 2 5 0 9 2 2 0 7 5 7 5 7 9 9 0 2 9 0 7 9 2 7 2 7 7 5 5 5 7 5 8 5 2 8 8 9 0 7 7 8 9 5 5 2 5 5 0 2 7 5 7 
42,0.218,7155,0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 ,4 7 7 7 4 7 11 7 7 7 11 4 7 4 4 4 7 4 4 4 11 4 4 4 4 11 7 7 4 7 11 7 11 4 7 11 11 4 4 4 11 11 9 11 7 4 4 4 7 4 11 11 7 7 11 4 11 11 4 4 4 11 7 7 4 7 11 11 7 7 11 7 11 11 7 11 4 11 7 11 
